,name,addr
0,北京易鑫体验店（昌平区）,北京市昌平区亚运村汽车交易市场南门8号
1,北京易鑫体验店（朝阳区）,北京市朝阳区黄厂路399号兴达汽车广场
2,北京易鑫体验店（大兴区）,北京市大兴区旧忠路与南五环交叉口亦庄西岸建材市场北排2号淘车体验店
3,北京易鑫体验店（通州店）,北京市通州区永顺镇范庄村北京瑞康兴汽车园区北区5-6号
4,上海易鑫体验店（浦东新区康杉路）,上海市浦东新区康杉路118号
5,上海易鑫体验店（浦东新区富特北路）,上海市浦东新区富特北路81号
6,重庆易鑫体验店（江北区）,重庆市江北区五里店北桥头望江阁（黄花园桥头北加油站旁）
7,重庆易鑫体验店（北部新区）,重庆市北部新区经开园金渝大道99号附16号1号楼1-1-10
8,天津易鑫体验店（静海区）,天津市静海区静海开发区金海道2号易鑫体验店
9,阿克苏易鑫体验店,新疆维吾尔自治区阿克苏市温宿县大欣汽车城A-10号
10,安康易鑫体验店,陕西省安康市汉滨区创业西路合裕汽车城
11,安顺易鑫体验店,贵州省安顺市中华北路世通和府临街商铺
12,巴彦淖尔易鑫体验店,内蒙古自治区巴彦淖尔市临河区临五路立通加油站东100米
13,巴中易鑫体验店,四川省巴中市巴州区黄家沟汽车博览中心后2排2栋
14,白城易鑫体验店,吉林省白城市幸福南大街47-33号
15,白银易鑫体验店,甘肃省白银市白银区长春路36号市级公租房主楼一楼
16,包头易鑫体验店,内蒙古自治区包头市稀土高新区稀土路4号（恒通汽车城院内第二排）
17,保定易鑫体验店（复兴路）,河北省保定市复兴路与东二环交叉口南行300米路西
18,保定易鑫体验店（高保路）,河北省保定市南二环与高保路口交叉口西行300米路南
19,北海易鑫体验店,广西省北海市北部湾东街北海机电汽车市场内
20,毕节易鑫体验店（七星关区）,贵州省毕节市七星关区鸭池镇头步桥创美农贸市场302号
21,毕节易鑫体验店（咸宁）,贵州省毕节市威宁彝族回族苗族自治县五里岗招商物流园内
22,宾阳易鑫体验店,宾阳县宾州镇宾州大街190号
23,滨州易鑫体验店,滨州市滨北街道办事处梧桐一路与渤海五路交叉口往东100米
24,沧州易鑫体验店（新华区）,河北省沧州市新华区长芦大道与黄河路交叉口东行100米
25,常州易鑫体验店,江苏省常州市钟楼区龙城大道1969号
26,潮州易鑫体验店（彩塘镇）,彩塘镇新潮汕公路和平路段
27,郴州易鑫体验店,湖南省郴州市开发区五岭大道81号金苑阁小区1栋103单元铺面
28,成都易鑫体验店（龙泉驿区）,四川省成都市龙泉驿区龙都南路537号
29,成都易鑫体验店（新都区）,四川省成都市新都区香城大道32号
30,池州易鑫体验店（站前区）,安徽省池州市站前区4S店集聚园
31,崇左易鑫体验店,崇左市花山路179号
32,楚雄易鑫体验店,云南省楚雄州楚雄市开发区程家坝（滇中汽车城）
33,达州易鑫体验店,达州市达川区二号干道汉兴街276号
34,大连易鑫体验店,辽宁省大连市甘井子区泉水A3区1-6号
35,丹东易鑫体验店,辽宁省丹东市振兴区花园路40号交通物流一楼
36,德州易鑫体验店（德城区）,山东省德州市德城区东风路澳德乐东200米路南
37,德州易鑫体验店（乐陵）,山东省乐陵市汽车站南一公里路东（原纳百川汽车站式服务会所）
38,东莞易鑫体验店（常平镇）,广东省东莞常平镇海祺汽配城1栋23-27号对面
39,东莞易鑫体验店（莞太店）,广东省东莞市南城区莞太路166号城市假日华厦商铺04
40,东莞易鑫体验店（寮步镇）,广东省东莞市寮步镇陈家埔祥富路261号
41,东莞易鑫体验店（汽车广场店）,广东省东莞市寮步镇寮步社区东莞国际汽车贸易城四号路宏丰汽车广场
42,鄂尔多斯易鑫体验店,内蒙古自治区鄂尔多斯市东胜区包东高速公路92公里处天意汽车城A区
43,佛山易鑫体验店（禅城区）,广东省佛山市禅城区魁奇西路佛山世纪车城4座首层
44,佛山易鑫体验店（乐从镇）,广东省佛山市顺德区乐从镇吉利大道东第三工业区21号首层铺位
45,佛山易鑫体验店（南海区）,广东省佛山市南海区罗村罗村大道2号汇景时代广场首层A102
46,福州易鑫体验店（仓山区）,福建省福州市仓山区盖山投资区高仕路7号
47,福州易鑫体验店（晋安区）,福建省福州市福新东路468号
48,阜新易鑫体验店,辽宁省阜新市经济开发区中华路178号
49,阜阳易鑫体验店,安徽省阜阳市汽贸物流园北京汽车一楼北侧
50,赣州易鑫体验店（开发区）,江西省赣州市开发区华坚商业街O2O体验街
51,高安易鑫体验店,江西省高安市瑞阳大道 1469-1477 号
52,固原易鑫体验店,宁夏固原市原州经济开发区九龙路08号
53,广元易鑫体验店,四川省广元市利州区利州东路三段皓鹏景园468号
54,广州易鑫体验店（白云区）,广东省广州市白云区黄石东路737号
55,广州易鑫体验店（番禺区）,广东省广州市番禺区桥南街番禺大道北自编1684号C座110-112号商铺
56,广州易鑫体验店（花都区）,广东省广州市花都区建设北路221号
57,广州易鑫体验店（增城区荔城街）,广东省广州市增城区荔城街新城大道路96-100号（欧亚公馆）
58,广州易鑫体验店（增城区新塘镇）,广东省广州市增城区新塘镇沙浦荔富商贸城C栋首层02-08铺位
59,贵港易鑫体验店（港北区）,广西省贵港市港北区金港大道西段金泰汽车城
60,贵港易鑫体验店（平南县）,广西平南县小历街星驰汽车城
61,贵阳易鑫体验店（花溪）,贵州省贵阳市花溪孟关汽车城汽车超市E区
62,贵阳易鑫体验店（乌当区）,贵州省贵阳市乌当区新添大道北段顺海村36号
63,桂林易鑫体验店（灵川县）,广西壮族自治区桂林市灵川县八里街灵川大道31号
